id,id_cc,acceso_id,nombre_comercial_acceso
82,19,PO_S1_CP_12,ISLADICCOS A
83,19,PO_S1_CP_14,FYBECA
1,1,QN_CP_1,DE LOS SHYRIS
2,1,QN_CP_12,EL GRIEGO B
3,1,QN_CP_15,EL DOBLEZ
4,1,QN_CP_17,MARATHON B
5,1,QN_CP_18,MARATHON A
6,1,QN_CP_19,CENTRAL SUB SUELO 1
7,1,QN_CP_20,EL UNIFORME BICICLETAS
8,1,QN_CP_21,EL COMERCIO
9,1,QN_CP_22,SEGUNDO MUELLE
10,1,QN_CP_29,FYBECA
11,1,QN_CP_30,SEGURIDAD A
12,1,QN_CP_32,6 DE DICIEMBRE
13,1,QN_CP_N_1,NUEVO PB
14,1,QN_CP_N_2,NUEVO S1
15,1,QN_CP_N_3,NUEVO S2
16,1,QN_CP_N_4,NUEVO S3
17,2,SL_CP_1,MEGAMAXI
18,2,SL_CP_2,NOE
19,2,SL_CP_21,MUTUALISTA PICHINCHA B
20,2,SL_CP_22,MUTUALISTA PICHINCHA A
21,2,SL_CP_23,SERVICIO CLIENTE A
22,2,SL_CP_24,SERVICIO CLIENTE B
23,2,SL_CP_25,BANCO PACIFICO A
24,2,SL_CP_26,BANCO PACIFICO B
25,2,SL_CP_31,FERRISARIATO B Y C
26,2,SL_CP_32,FERRISARIATO C
27,2,SL_CP_34,AV MARATHON
28,2,SL_CP_7,AV SAN LUIS
29,3,GP_CP_1,CORREDOR KFC
30,3,GP_CP_10,UOMO VENETTO
31,3,GP_CP_11,ELEVADOR 2
32,3,GP_CP_4,FUNKY FISH
33,3,GP_CP_5,VERIS
34,3,GP_CP_6,LOTERIA NACIONAL
35,3,GP_CP_7,6 DE DICIEMBRE
36,3,GP_CP_9,ELEVADOR PB
37,4,SM_CP_1,AV FRANCISCO DE ORELLANA 1
38,4,SM_CP_12,BANCO GUAYAQUIL
39,4,SM_CP_13,BANCO BOLIVARIANO
40,4,SM_CP_16,FYBECA
41,4,SM_CP_17,BANCO PICHINCHA
42,4,SM_CP_18,SPORTS PLANET
43,4,SM_CP_2,AV FRANCISCO DE ORELLANA 2
44,4,SM_CP_20,DUENDES
45,4,SM_CP_21,FRIDAYS EX
46,4,SM_CP_3,LIBRERIA ISRAEL
47,5,QS_CP_14,ZONA ROJA S1
48,5,QS_CP_24,ZONA AZUL 2  S1
49,5,QS_CP_30,QUITUMBE NAN
50,5,QS_CP_37,MORAN VALVERDE
51,5,QS_CP_40,PLAY
52,9,MPL_CP_01,SECTOR EL ESPANOL
53,9,MPL_CP_02,SECTOR CLARO
54,9,MPL_CP_03,SECTOR ETAFASHION
55,9,MPL_CP_04,SECTOR PRODUBANCO
56,9,MPL_CP_05,SECTOR KFC
57,14,MP_CP_01,ADMINISTRACION
58,14,MP_CP_02,ELEVADOR S2
59,14,MP_CP_05,SUB SUELO 2 D
60,14,MP_CP_07,SUB SUELO 2 B
61,14,MP_CP_08,ELEVADOR S2 B
62,14,MP_CP_11,ISLA NETLIFE
63,14,MP_CP_14,PIZZA HUT A
64,14,MP_CP_16,FUN RIDES A
65,14,MP_CP_17,SUB SUELO 1 C
66,14,MP_CP_19,SUB SUELO 1 B
67,14,MP_CP_21,ELEVADOR S1 A
68,14,MP_CP_23,ELEVADOR S1 C
69,14,MP_CP_24,CALLE 23 A
70,14,MP_CP_25,CALLE 23 B
71,14,MP_CP_26,PATIO DE COMIDAS 1
72,14,MP_CP_27,PATIO DE COMIDAS 2
73,14,MP_CP_44,PLAY ZONE
74,19,PO_P2_CP_24,COSMETIC AMERICA
75,19,PO_P2_CP_25,POLLO ESCKETCHER
76,19,PO_PB_CP_17,MARTINIZING
77,19,PO_PB_CP_18,MEDICITY
78,19,PO_PB_CP_21,PACIFICO SOLIDARIO B
79,19,PO_PB_CP_23,COSMETIC AMERICA/ PARQUEADERO 351
80,19,PO_S1_CP_07,ASCENSOR A
81,19,PO_S1_CP_08,ASCENSOR B
